x,y,y_coordinate
18.7,0.907882791,8.088775675
18.8,0.906056911,8.054839861
18.9,0.90423103,8.021046422
19,0.902405149,7.98739476
19.1,0.900579268,7.953884282
19.2,0.89839862,7.914046913
19.3,0.895908783,7.868804999
19.4,0.893418946,7.823821717
19.5,0.890929108,7.77909559
19.6,0.888439271,7.734625147
19.7,0.885949433,7.690408926
19.8,0.883459596,7.646445474
19.9,0.880969759,7.602733346
20,0.878479921,7.559271106
20.1,0.875990084,7.516057324
20.2,0.873500246,7.473090581
20.3,0.871010409,7.430369464
20.4,0.868520572,7.38789257
20.5,0.866030734,7.345658501
20.6,0.863540897,7.30366587
20.7,0.861051059,7.261913297
20.8,0.858657031,7.221992466
20.9,0.856628275,7.18833444
21,0.854599518,7.154833277
21.1,0.852570762,7.121488246
21.2,0.850542005,7.088298619
21.3,0.848513249,7.055263672
21.4,0.846484493,7.022382684
21.5,0.844455736,6.989654938
21.6,0.84242698,6.957079719
21.7,0.840398223,6.924656316
21.8,0.838369467,6.892384023
21.9,0.836340711,6.860262134
22,0.834311954,6.828289949
22.1,0.832283198,6.79646677
22.2,0.830685411,6.771508236
22.3,0.829163844,6.747825509
22.4,0.827642276,6.724225611
22.5,0.826120709,6.700708251
22.6,0.824599142,6.67727314
22.7,0.823077575,6.653919992
22.8,0.821556007,6.630648519
22.9,0.82003444,6.607458436
23,0.818512873,6.584349459
23.1,0.816991305,6.561321303
23.2,0.815469738,6.538373685
23.3,0.813948171,6.515506325
23.4,0.812426603,6.492718942
23.5,0.810905036,6.470011255
23.6,0.809383469,6.447382986
23.7,0.807861902,6.424833857
23.8,0.806340334,6.402363592
23.9,0.804795966,6.379636972
24,0.802689181,6.348763959
24.1,0.800582395,6.318040351
24.2,0.79847561,6.287465423
24.3,0.796368824,6.257038457
24.4,0.794262039,6.226758737
24.5,0.792155253,6.196625549
24.6,0.790048468,6.166638185
24.7,0.787941682,6.136795938
24.8,0.785834897,6.107098108
24.9,0.783728111,6.077543994
25,0.781621326,6.048132902
25.1,0.77951454,6.018864139
25.2,0.777407755,5.989737017
25.3,0.775300969,5.96075085
25.4,0.773194184,5.931904955
25.5,0.771087398,5.903198655
25.6,0.768980613,5.874631273
25.7,0.766873827,5.846202138
25.8,0.764767042,5.817910579
25.9,0.763548442,5.801608808
26,0.762635501,5.789425922
26.1,0.761722561,5.77726862
