x,y,y_coordinate
33.8,-0.09889527,0.796351367
33.9,-0.101626689,0.791358572
34,-0.104358108,0.786397079
34.1,-0.107089527,0.781466694
34.2,-0.109535473,0.777077845
34.3,-0.111811655,0.773015753
34.4,-0.114087838,0.768974896
34.5,-0.11636402,0.764955162
34.6,-0.118640203,0.760956441
34.7,-0.120916385,0.756978622
34.8,-0.123192568,0.753021598
34.9,-0.12546875,0.749085258
35,-0.127744932,0.745169494
35.1,-0.130021115,0.741274201
35.2,-0.132297297,0.737399269
35.3,-0.13457348,0.733544593
35.4,-0.136849662,0.729710067
35.5,-0.139125845,0.725895586
35.6,-0.141402027,0.722101044
35.7,-0.143678209,0.718326338
35.8,-0.145954392,0.714571364
35.9,-0.148230574,0.710836019
36,-0.150506757,0.707120199
36.1,-0.152782939,0.703423804
36.2,-0.155059122,0.699746731
36.3,-0.157335304,0.69608888
36.4,-0.159611486,0.69245015
36.5,-0.161887669,0.688830441
36.6,-0.164163851,0.685229653
36.7,-0.166440034,0.681647688
36.8,-0.168716216,0.678084448
36.9,-0.170992399,0.674539834
37,-0.173268581,0.671013749
37.1,-0.175544764,0.667506096
37.2,-0.177606419,0.664344863
37.3,-0.179654983,0.661218532
37.4,-0.181703547,0.658106913
37.5,-0.183752111,0.655009937
37.6,-0.185800676,0.651927535
37.7,-0.18784924,0.648859638
37.8,-0.189897804,0.645806179
37.9,-0.191946368,0.642767089
38,-0.193994932,0.6397423
38.1,-0.196043497,0.636731746
38.2,-0.198092061,0.633735359
38.3,-0.200140625,0.630753073
38.4,-0.202189189,0.627784821
38.5,-0.204237753,0.624830537
38.6,-0.206286318,0.621890156
38.7,-0.208334882,0.618963612
38.8,-0.210383446,0.61605084
38.9,-0.21243201,0.613151775
39,-0.214480574,0.610266353
39.1,-0.216529139,0.607394509
39.2,-0.218577703,0.60453618
39.3,-0.220626267,0.601691302
39.4,-0.222674831,0.598859811
39.5,-0.224723395,0.596041645
39.6,-0.226771959,0.593236741
39.7,-0.228820524,0.590445037
39.8,-0.230869088,0.58766647
39.9,-0.232917652,0.584900979
40,-0.234966216,0.582148501
40.1,-0.23701478,0.579408977
40.2,-0.239063345,0.576682344
40.3,-0.241111909,0.573968543
40.4,-0.243160473,0.571267513
40.5,-0.245209037,0.568579193
40.6,-0.247257601,0.565903524
40.7,-0.249306166,0.563240447
40.8,-0.25135473,0.560589902
40.9,-0.253403294,0.55795183
41,-0.255451858,0.555326172
41.1,-0.257500422,0.55271287
41.2,-0.259548986,0.550111867
41.3,-0.261597551,0.547523103
41.4,-0.263646115,0.544946522
41.5,-0.265694679,0.542382066
41.6,-0.267743243,0.539829678
41.7,-0.269791807,0.537289301
41.8,-0.271840372,0.534760879
41.9,-0.273888936,0.532244355
42,-0.2759375,0.529739674
42.1,-0.277986064,0.52724678
42.2,-0.280034628,0.524765617
42.3,-0.282083193,0.522296129
42.4,-0.284131757,0.519838263
42.5,-0.286180321,0.517391964
42.6,-0.288228885,0.514957176
42.7,-0.290277449,0.512533847
42.8,-0.292326014,0.510121921
42.9,-0.294374578,0.507721346
43,-0.296423142,0.505332067
43.1,-0.298210726,0.503256362
43.2,-0.299804054,0.501413411
43.3,-0.301397382,0.49957721
43.4,-0.302990709,0.497747733
43.5,-0.304584037,0.495924955
43.6,-0.306177365,0.494108853
43.7,-0.307770693,0.492299401
43.8,-0.30936402,0.490496576
43.9,-0.310957348,0.488700352
44,-0.312550676,0.486910707
44.1,-0.314144003,0.485127615
44.2,-0.315737331,0.483351053
44.3,-0.317330659,0.481580997
44.4,-0.318923986,0.479817423
44.5,-0.320517314,0.478060307
44.6,-0.322110642,0.476309626
44.7,-0.32370397,0.474565355
44.8,-0.325297297,0.472827473
44.9,-0.326890625,0.471095955
45,-0.328483953,0.469370777
45.1,-0.33007728,0.467651918
45.2,-0.331670608,0.465939353
45.3,-0.333263936,0.464233059
45.4,-0.334857264,0.462533014
45.5,-0.336450591,0.460839194
45.6,-0.338043919,0.459151578
45.7,-0.339637247,0.457470141
45.8,-0.341230574,0.455794862
45.9,-0.342823902,0.454125718
46,-0.34441723,0.452462687
46.1,-0.346212838,0.450595824
46.2,-0.348033784,0.448710483
46.3,-0.34985473,0.446833032
46.4,-0.351675676,0.444963435
46.5,-0.353496622,0.443101661
46.6,-0.355317568,0.441247677
46.7,-0.357138514,0.439401451
46.8,-0.358959459,0.437562949
46.9,-0.360780405,0.43573214
47,-0.362601351,0.43390899
47.1,-0.364422297,0.43209347
47.2,-0.366243243,0.430285545
47.3,-0.368064189,0.428485185
47.4,-0.369885135,0.426692358
47.5,-0.371706081,0.424907032
47.6,-0.373527027,0.423129177
47.7,-0.375347973,0.42135876
47.8,-0.377168919,0.41959575
47.9,-0.378989865,0.417840118
48,-0.380810811,0.416091831
48.1,-0.382631757,0.414350859
48.2,-0.384452703,0.412617171
48.3,-0.386273649,0.410890738
48.4,-0.388094595,0.409171528
48.5,-0.389915541,0.407459511
48.6,-0.391736486,0.405754657
48.7,-0.393557432,0.404056937
48.8,-0.395378378,0.402366321
48.9,-0.397199324,0.400682778
49,-0.398973818,0.399048959
49.1,-0.400567145,0.397587622
49.2,-0.402160473,0.396131636
49.3,-0.403753801,0.394680981
49.4,-0.405347128,0.393235639
49.5,-0.406940456,0.391795591
49.6,-0.408533784,0.390360815
49.7,-0.410127111,0.388931294
49.8,-0.411720439,0.387507008
49.9,-0.413313767,0.386087937
50,-0.414907095,0.384674064
50.1,-0.416500422,0.383265368
50.2,-0.41809375,0.38186183
