    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     0.00     1.962     2.368     1.207     0.327     0.431     0.070       18.416
     0.01     1.963     2.369     1.207     0.327     0.431     0.070       18.429
     0.02     1.964     2.371     1.207     0.327     0.431     0.070       18.442
     0.03     1.965     2.373     1.208     0.326     0.432     0.070       18.455
     0.04     1.966     2.375     1.208     0.326     0.432     0.070       18.468
     0.05     1.967     2.377     1.208     0.326     0.432     0.070       18.481
     0.06     1.968     2.378     1.209     0.325     0.432     0.070       18.494
     0.07     1.969     2.380     1.209     0.325     0.432     0.070       18.508
     0.08     1.970     2.382     1.209     0.325     0.432     0.070       18.521
     0.09     1.971     2.384     1.210     0.324     0.433     0.070       18.534
     0.10     1.972     2.386     1.210     0.324     0.433     0.070       18.548
     0.11     1.973     2.388     1.210     0.323     0.433     0.071       18.561
     0.12     1.974     2.390     1.211     0.323     0.433     0.071       18.575
     0.13     1.975     2.392     1.211     0.323     0.433     0.071       18.588
     0.14     1.976     2.394     1.211     0.322     0.434     0.071       18.602
     0.15     1.977     2.395     1.212     0.322     0.434     0.071       18.616
     0.16     1.978     2.397     1.212     0.322     0.434     0.071       18.629
     0.17     1.979     2.399     1.212     0.321     0.434     0.071       18.643
     0.18     1.980     2.401     1.213     0.321     0.434     0.071       18.657
     0.19     1.981     2.403     1.213     0.320     0.434     0.071       18.671
     0.20     1.983     2.405     1.213     0.320     0.435     0.071       18.685
     0.21     1.984     2.407     1.214     0.320     0.435     0.071       18.699
     0.22     1.985     2.409     1.214     0.319     0.435     0.071       18.713
     0.23     1.986     2.411     1.214     0.319     0.435     0.071       18.728
     0.24     1.987     2.413     1.215     0.318     0.435     0.071       18.742
     0.25     1.988     2.415     1.215     0.318     0.436     0.071       18.756
     0.26     1.989     2.417     1.215     0.318     0.436     0.071       18.771
     0.27     1.990     2.419     1.216     0.317     0.436     0.071       18.785
     0.28     1.991     2.421     1.216     0.317     0.436     0.071       18.799
     0.29     1.992     2.423     1.216     0.316     0.436     0.071       18.814
     0.30     1.993     2.426     1.217     0.316     0.437     0.071       18.829
     0.31     1.994     2.428     1.217     0.316     0.437     0.071       18.844
     0.32     1.996     2.430     1.218     0.315     0.437     0.071       18.858
     0.33     1.997     2.432     1.218     0.315     0.437     0.071       18.873
     0.34     1.998     2.434     1.218     0.314     0.437     0.071       18.888
     0.35     1.999     2.436     1.219     0.314     0.437     0.071       18.903
     0.36     2.000     2.438     1.219     0.314     0.438     0.071       18.918
     0.37     2.001     2.440     1.219     0.313     0.438     0.071       18.933
     0.38     2.002     2.443     1.220     0.313     0.438     0.071       18.948
     0.39     2.004     2.445     1.220     0.312     0.438     0.071       18.964
     0.40     2.005     2.447     1.221     0.312     0.439     0.071       18.979
     0.41     2.006     2.449     1.221     0.311     0.439     0.071       18.994
     0.42     2.007     2.451     1.221     0.311     0.439     0.071       19.010
     0.43     2.008     2.454     1.222     0.311     0.439     0.071       19.026
     0.44     2.010     2.456     1.222     0.310     0.439     0.071       19.041
     0.45     2.011     2.458     1.223     0.310     0.440     0.071       19.057
     0.46     2.012     2.460     1.223     0.309     0.440     0.071       19.073
     0.47     2.013     2.463     1.223     0.309     0.440     0.071       19.089
     0.48     2.014     2.465     1.224     0.308     0.440     0.071       19.105
     0.49     2.015     2.467     1.224     0.308     0.440     0.071       19.121
     0.50     2.017     2.470     1.225     0.307     0.441     0.071       19.137
     0.51     2.018     2.472     1.225     0.307     0.441     0.071       19.153
     0.52     2.019     2.474     1.225     0.307     0.441     0.072       19.169
     0.53     2.020     2.477     1.226     0.306     0.441     0.072       19.186
     0.54     2.022     2.479     1.226     0.306     0.442     0.072       19.202
     0.55     2.023     2.481     1.227     0.305     0.442     0.072       19.219
     0.56     2.024     2.484     1.227     0.305     0.442     0.072       19.235
     0.57     2.025     2.486     1.228     0.304     0.442     0.072       19.252
     0.58     2.027     2.489     1.228     0.304     0.443     0.072       19.269
     0.59     2.028     2.491     1.229     0.303     0.443     0.072       19.286
     0.60     2.029     2.494     1.229     0.303     0.443     0.072       19.303
     0.61     2.030     2.496     1.229     0.302     0.443     0.072       19.320
     0.62     2.032     2.499     1.230     0.302     0.444     0.072       19.337
     0.63     2.033     2.501     1.230     0.301     0.444     0.072       19.355
     0.64     2.034     2.504     1.231     0.301     0.444     0.072       19.372
     0.65     2.035     2.506     1.231     0.300     0.444     0.072       19.389
