    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     6.20     1.558     4.139     2.656     0.092     1.501     0.019      178.989
     6.21     1.609     3.946     2.453     0.108     1.358     0.017      213.632
     6.22     1.664     3.721     2.236     0.128     1.207     0.016      247.064
     6.23     1.638     3.452     2.108     0.157     1.104     0.016      270.546
     6.24     1.616     3.300     2.042     0.176     1.051     0.015      284.143
     6.25     1.483     3.068     2.069     0.207     1.038     0.016      283.458
     6.26     1.352     2.934     2.170     0.227     1.074     0.017      268.308
     6.27     1.182     2.927     2.476     0.228     1.228     0.018      226.111
     6.28     1.012     3.051     3.014     0.210     1.518     0.025      150.355
     6.29     0.854     2.568     3.006     0.289     1.407     0.054       79.508
     6.30     0.696     1.705     2.450     0.478     1.002     0.083       52.217
     6.31     0.588     1.367     2.323     0.569     0.906     0.088       46.339
     6.32     0.481     1.105     2.300     0.645     0.870     0.088       44.181
     6.33     0.412     0.935     2.269     0.697     0.841     0.087       42.445
     6.34     0.343     0.756     2.202     0.753     0.798     0.086       39.864
     6.35     0.316     0.685     2.165     0.775     0.778     0.086       38.620
     6.36     0.289     0.611     2.109     0.799     0.750     0.086       36.977
     6.37     0.273     0.565     2.073     0.814     0.733     0.085       35.930
     6.38     0.256     0.518     2.024     0.829     0.711     0.085       34.616
     6.39     0.250     0.501     2.006     0.834     0.703     0.085       34.135
     6.40     0.244     0.483     1.983     0.840     0.693     0.085       33.529
     6.41     0.242     0.479     1.976     0.842     0.690     0.085       33.362
     6.42     0.241     0.474     1.967     0.844     0.686     0.085       33.149
     6.43     0.240     0.470     1.962     0.845     0.684     0.085       33.020
     6.44     0.239     0.466     1.954     0.846     0.681     0.085       32.820
     6.45     0.238     0.464     1.949     0.847     0.679     0.085       32.683
     6.46     0.237     0.461     1.943     0.848     0.677     0.085       32.553
     6.47     0.236     0.458     1.939     0.849     0.675     0.085       32.448
     6.48     0.236     0.455     1.931     0.850     0.672     0.085       32.255
     6.49     0.235     0.452     1.926     0.850     0.670     0.085       32.145
     6.50     0.234     0.450     1.920     0.851     0.667     0.085       31.998
     6.51     0.233     0.447     1.917     0.852     0.666     0.084       31.914
     6.52     0.233     0.445     1.910     0.853     0.663     0.084       31.761
     6.53     0.232     0.442     1.905     0.854     0.661     0.084       31.643
     6.54     0.231     0.440     1.900     0.855     0.659     0.084       31.519
     6.55     0.231     0.437     1.896     0.855     0.658     0.084       31.407
     6.56     0.230     0.435     1.890     0.856     0.655     0.084       31.261
     6.57     0.229     0.432     1.885     0.857     0.653     0.084       31.156
     6.58     0.229     0.430     1.880     0.858     0.651     0.084       31.037
     6.59     0.228     0.428     1.877     0.858     0.650     0.084       30.948
     6.60     0.227     0.425     1.869     0.859     0.647     0.084       30.769
     6.61     0.227     0.423     1.865     0.860     0.645     0.084       30.670
     6.62     0.226     0.421     1.860     0.861     0.643     0.084       30.560
     6.63     0.225     0.418     1.856     0.862     0.642     0.084       30.458
     6.64     0.225     0.416     1.850     0.862     0.640     0.084       30.315
     6.65     0.224     0.414     1.845     0.863     0.638     0.084       30.205
     6.66     0.224     0.412     1.842     0.864     0.636     0.084       30.134
     6.67     0.223     0.411     1.839     0.864     0.635     0.084       30.050
     6.68     0.223     0.408     1.833     0.865     0.633     0.084       29.916
     6.69     0.222     0.407     1.831     0.865     0.632     0.084       29.861
     6.70     0.222     0.405     1.826     0.866     0.630     0.084       29.751
     6.71     0.221     0.403     1.822     0.867     0.629     0.084       29.659
     6.72     0.221     0.402     1.818     0.867     0.627     0.084       29.554
     6.73     0.221     0.400     1.814     0.868     0.625     0.084       29.464
     6.74     0.220     0.398     1.809     0.868     0.624     0.084       29.359
     6.75     0.220     0.396     1.805     0.869     0.622     0.084       29.247
     6.76     0.219     0.394     1.800     0.869     0.620     0.083       29.145
     6.77     0.219     0.393     1.797     0.870     0.619     0.083       29.063
     6.78     0.218     0.391     1.793     0.871     0.617     0.083       28.973
     6.79     0.218     0.390     1.789     0.871     0.616     0.083       28.886
     6.80     0.217     0.388     1.784     0.872     0.614     0.083       28.757
     6.81     0.217     0.386     1.781     0.872     0.613     0.083       28.699
     6.82     0.217     0.385     1.777     0.873     0.611     0.083       28.614
     6.83     0.216     0.383     1.773     0.873     0.610     0.083       28.518
     6.84     0.216     0.382     1.772     0.873     0.609     0.083       28.485
     6.85     0.215     0.381     1.769     0.874     0.608     0.083       28.404
     6.86     0.215     0.379     1.763     0.875     0.606     0.083       28.288
     6.87     0.215     0.378     1.760     0.875     0.604     0.083       28.208
     6.88     0.214     0.376     1.756     0.875     0.603     0.083       28.119
     6.89     0.214     0.375     1.752     0.876     0.602     0.083       28.034
     6.90     0.213     0.373     1.746     0.877     0.599     0.083       27.889
     6.91     0.213     0.371     1.742     0.877     0.598     0.083       27.804
     6.92     0.213     0.370     1.739     0.878     0.596     0.083       27.722
     6.93     0.212     0.368     1.735     0.878     0.595     0.083       27.649
     6.94     0.212     0.367     1.732     0.878     0.594     0.083       27.558
     6.95     0.212     0.366     1.728     0.879     0.592     0.082       27.461
     6.96     0.211     0.364     1.725     0.879     0.591     0.082       27.419
     6.97     0.211     0.363     1.721     0.880     0.590     0.082       27.329
     6.98     0.210     0.361     1.716     0.880     0.588     0.082       27.198
     6.99     0.210     0.360     1.714     0.881     0.587     0.082       27.151
     7.00     0.210     0.359     1.710     0.881     0.586     0.082       27.058
     7.01     0.209     0.357     1.706     0.882     0.584     0.082       26.982
     7.02     0.209     0.356     1.703     0.882     0.583     0.082       26.897
     7.03     0.209     0.354     1.698     0.883     0.581     0.082       26.800
     7.04     0.208     0.352     1.693     0.883     0.579     0.082       26.679
     7.05     0.208     0.351     1.689     0.884     0.577     0.082       26.573
     7.06     0.207     0.349     1.684     0.884     0.576     0.082       26.465
     7.07     0.207     0.348     1.680     0.885     0.574     0.082       26.391
     7.08     0.207     0.347     1.677     0.885     0.573     0.082       26.314
     7.09     0.206     0.345     1.674     0.886     0.572     0.082       26.249
     7.10     0.206     0.344     1.669     0.886     0.570     0.082       26.122
     7.11     0.205     0.342     1.665     0.887     0.568     0.081       26.041
     7.12     0.205     0.340     1.659     0.887     0.566     0.081       25.920
     7.13     0.205     0.339     1.655     0.888     0.565     0.081       25.829
     7.14     0.204     0.338     1.654     0.888     0.564     0.081       25.787
     7.15     0.204     0.337     1.650     0.889     0.563     0.081       25.698
     7.16     0.204     0.335     1.646     0.889     0.561     0.081       25.607
     7.17     0.203     0.334     1.642     0.889     0.560     0.081       25.537
     7.18     0.203     0.332     1.636     0.890     0.558     0.081       25.404
     7.19     0.202     0.331     1.633     0.891     0.556     0.081       25.306
     7.20     0.202     0.328     1.626     0.891     0.554     0.081       25.147
     7.21     0.202     0.327     1.622     0.892     0.552     0.081       25.082
     7.22     0.201     0.326     1.617     0.892     0.551     0.081       24.979
     7.23     0.201     0.324     1.613     0.893     0.549     0.081       24.886
     7.24     0.201     0.323     1.610     0.893     0.548     0.081       24.809
     7.25     0.200     0.322     1.607     0.893     0.547     0.080       24.733
     7.26     0.200     0.320     1.602     0.894     0.545     0.080       24.624
     7.27     0.199     0.319     1.598     0.894     0.543     0.080       24.547
     7.28     0.199     0.317     1.592     0.895     0.541     0.080       24.414
     7.29     0.199     0.316     1.589     0.895     0.540     0.080       24.338
     7.30     0.198     0.314     1.583     0.896     0.538     0.080       24.204
     7.31     0.198     0.312     1.578     0.897     0.536     0.080       24.115
     7.32     0.198     0.311     1.574     0.897     0.535     0.080       24.024
     7.33     0.197     0.310     1.572     0.897     0.534     0.080       23.963
     7.34     0.197     0.308     1.564     0.898     0.531     0.080       23.787
     7.35     0.196     0.307     1.561     0.898     0.530     0.080       23.716
     7.36     0.196     0.305     1.558     0.899     0.529     0.079       23.655
     7.37     0.196     0.304     1.553     0.899     0.527     0.079       23.564
