    Depth        Gy       GyE       RBE        SL     Gy^-1     Gy^-2 LETm(keV/um)
     0.00     1.887     2.030     1.076     0.400     0.366     0.063       11.849
     0.01     1.887     2.029     1.076     0.400     0.366     0.063       11.850
     0.02     1.886     2.029     1.076     0.400     0.366     0.063       11.852
     0.03     1.886     2.029     1.076     0.400     0.366     0.063       11.853
     0.04     1.886     2.029     1.076     0.400     0.366     0.063       11.854
     0.05     1.886     2.029     1.076     0.400     0.366     0.063       11.855
     0.06     1.885     2.028     1.076     0.400     0.366     0.063       11.856
     0.07     1.885     2.028     1.076     0.400     0.366     0.063       11.857
     0.08     1.885     2.028     1.076     0.400     0.366     0.063       11.859
     0.09     1.885     2.028     1.076     0.400     0.366     0.063       11.860
     0.10     1.885     2.027     1.076     0.400     0.366     0.063       11.861
     0.11     1.884     2.027     1.076     0.401     0.366     0.063       11.862
     0.12     1.884     2.027     1.076     0.401     0.366     0.063       11.863
     0.13     1.884     2.027     1.076     0.401     0.366     0.063       11.864
     0.14     1.884     2.027     1.076     0.401     0.366     0.063       11.866
     0.15     1.884     2.027     1.076     0.401     0.366     0.063       11.867
     0.16     1.884     2.026     1.076     0.401     0.366     0.063       11.867
     0.17     1.884     2.026     1.076     0.401     0.366     0.063       11.868
     0.18     1.883     2.026     1.076     0.401     0.366     0.063       11.869
     0.19     1.883     2.026     1.076     0.401     0.366     0.063       11.870
     0.20     1.883     2.026     1.076     0.401     0.366     0.063       11.871
     0.21     1.883     2.026     1.076     0.401     0.366     0.063       11.872
     0.22     1.883     2.026     1.076     0.401     0.366     0.063       11.873
     0.23     1.883     2.026     1.076     0.401     0.366     0.063       11.874
     0.24     1.883     2.026     1.076     0.401     0.366     0.063       11.875
     0.25     1.882     2.025     1.076     0.401     0.366     0.063       11.877
     0.26     1.882     2.025     1.076     0.401     0.366     0.063       11.878
     0.27     1.882     2.025     1.076     0.401     0.366     0.063       11.879
     0.28     1.882     2.025     1.076     0.401     0.366     0.063       11.880
     0.29     1.881     2.025     1.076     0.401     0.366     0.063       11.882
     0.30     1.881     2.024     1.076     0.401     0.366     0.063       11.883
     0.31     1.881     2.024     1.076     0.401     0.366     0.063       11.884
     0.32     1.881     2.024     1.076     0.401     0.366     0.063       11.885
     0.33     1.881     2.024     1.076     0.401     0.366     0.063       11.886
     0.34     1.880     2.024     1.076     0.401     0.366     0.063       11.887
     0.35     1.880     2.023     1.076     0.401     0.366     0.063       11.888
     0.36     1.880     2.023     1.076     0.401     0.366     0.063       11.889
     0.37     1.880     2.023     1.076     0.401     0.366     0.063       11.890
